Continent,Country,Month,equipment,equipment_code,demand,supply
Africa,Algeria,2021-08-01T01:01:01Z,General Medicines,7,4635930,1491584
Africa,Algeria,2021-08-01T01:01:01Z,PPE Kit,8,17189,1367
Africa,Algeria,2021-09-01T01:01:01Z,oxygen cylinder,0,9608,7585
Africa,Algeria,2021-09-01T01:01:01Z,O2 Generator,1,7515,3880
Africa,Algeria,2021-09-01T01:01:01Z,Mask,2,8831088,66974
Africa,Algeria,2021-09-01T01:01:01Z,Ventilators,3,5746,385
Africa,Algeria,2021-09-01T01:01:01Z,O2 Concentrators,4,7042,1683
Africa,Algeria,2021-09-01T01:01:01Z,Testing Units,5,305849,179073
Africa,Algeria,2021-09-01T01:01:01Z,Pulse Oxymeters,6,8979,14650
Africa,Algeria,2021-09-01T01:01:01Z,General Medicines,7,12666064,682137
Africa,Algeria,2021-09-01T01:01:01Z,PPE Kit,8,15382,10661
Africa,Algeria,2021-10-01T01:01:01Z,oxygen cylinder,0,18075,9099
Africa,Algeria,2021-10-01T01:01:01Z,O2 Generator,1,3116,1623
Africa,Algeria,2021-10-01T01:01:01Z,Mask,2,76429,426564
Africa,Algeria,2021-10-01T01:01:01Z,Ventilators,3,6798,1375
Africa,Algeria,2021-10-01T01:01:01Z,O2 Concentrators,4,4714,1429
Africa,Algeria,2021-10-01T01:01:01Z,Testing Units,5,397673,195017
Africa,Algeria,2021-10-01T01:01:01Z,Pulse Oxymeters,6,3092,1820
Africa,Algeria,2021-10-01T01:01:01Z,General Medicines,7,14600391,928386
Africa,Algeria,2021-10-01T01:01:01Z,PPE Kit,8,8077,16820
Africa,Algeria,2021-11-01T01:01:01Z,oxygen cylinder,0,12596,1404
Africa,Algeria,2021-11-01T01:01:01Z,O2 Generator,1,5609,2213
Africa,Algeria,2021-11-01T01:01:01Z,Mask,2,9793604,1422804
Africa,Algeria,2021-11-01T01:01:01Z,Ventilators,3,820,2075
Africa,Algeria,2021-11-01T01:01:01Z,O2 Concentrators,4,6818,116
Africa,Algeria,2021-11-01T01:01:01Z,Testing Units,5,527086,308704
Africa,Algeria,2021-11-01T01:01:01Z,Pulse Oxymeters,6,16165,14241
Africa,Algeria,2021-11-01T01:01:01Z,General Medicines,7,9258625,667068
Africa,Algeria,2021-11-01T01:01:01Z,PPE Kit,8,3456,4277
Africa,Algeria,2021-12-01T01:01:01Z,oxygen cylinder,0,14757,17712
Africa,Algeria,2021-12-01T01:01:01Z,O2 Generator,1,1075,1250
Africa,Algeria,2021-12-01T01:01:01Z,Mask,2,898643,2088550
Africa,Algeria,2021-12-01T01:01:01Z,Ventilators,3,11427,1701
Africa,Algeria,2021-12-01T01:01:01Z,O2 Concentrators,4,3636,5763
Africa,Algeria,2021-12-01T01:01:01Z,Testing Units,5,531348,55672
Africa,Algeria,2021-12-01T01:01:01Z,Pulse Oxymeters,6,12365,9514
Africa,Algeria,2021-12-01T01:01:01Z,General Medicines,7,12943511,1776311
Africa,Algeria,2021-12-01T01:01:01Z,PPE Kit,8,22466,4399
Africa,Algeria,2022-01-01T01:01:01Z,oxygen cylinder,0,10043,9163
Africa,Algeria,2022-01-01T01:01:01Z,O2 Generator,1,4169,1711
Africa,Algeria,2022-01-01T01:01:01Z,Mask,2,12832229,1148912
Africa,Algeria,2022-01-01T01:01:01Z,Ventilators,3,3859,341
Africa,Algeria,2022-01-01T01:01:01Z,O2 Concentrators,4,7497,526
Africa,Algeria,2022-01-01T01:01:01Z,Testing Units,5,101824,296337
Africa,Algeria,2022-01-01T01:01:01Z,Pulse Oxymeters,6,10235,10061
Africa,Algeria,2022-01-01T01:01:01Z,General Medicines,7,10409594,709551
Africa,Algeria,2022-01-01T01:01:01Z,PPE Kit,8,14319,15645
Africa,Algeria,2022-02-01T01:01:01Z,oxygen cylinder,0,12265,16386
Africa,Algeria,2022-02-01T01:01:01Z,O2 Generator,1,10012,4891
Africa,Algeria,2022-02-01T01:01:01Z,Mask,2,12531657,2680790
Africa,Algeria,2022-02-01T01:01:01Z,Ventilators,3,1622,2514
Africa,Algeria,2022-02-01T01:01:01Z,O2 Concentrators,4,2755,2773
Africa,Algeria,2022-02-01T01:01:01Z,Testing Units,5,404784,18641
Africa,Algeria,2022-02-01T01:01:01Z,Pulse Oxymeters,6,24566,9793
Africa,Algeria,2022-02-01T01:01:01Z,General Medicines,7,12286683,2590400
Africa,Algeria,2022-02-01T01:01:01Z,PPE Kit,8,24322,10210
Africa,Algeria,2022-03-01T01:01:01Z,oxygen cylinder,0,12258,2693
Africa,Algeria,2022-03-01T01:01:01Z,O2 Generator,1,1537,3738
Africa,Algeria,2022-03-01T01:01:01Z,Mask,2,10558179,185218
Africa,Algeria,2022-03-01T01:01:01Z,Ventilators,3,9754,1890
Africa,Algeria,2022-03-01T01:01:01Z,O2 Concentrators,4,4711,33
Africa,Algeria,2022-03-01T01:01:01Z,Testing Units,5,208263,24454
Africa,Algeria,2022-03-01T01:01:01Z,Pulse Oxymeters,6,2872,750
Africa,Algeria,2022-03-01T01:01:01Z,General Medicines,7,17768905,790806
Africa,Algeria,2022-03-01T01:01:01Z,PPE Kit,8,25010,8248
Africa,Algeria,2022-04-01T01:01:01Z,oxygen cylinder,0,17916,17305
Africa,Algeria,2022-04-01T01:01:01Z,O2 Generator,1,7557,1085
Africa,Algeria,2022-04-01T01:01:01Z,Mask,2,19941748,11284
Africa,Algeria,2022-04-01T01:01:01Z,Ventilators,3,7844,2040
Africa,Algeria,2022-04-01T01:01:01Z,O2 Concentrators,4,7819,4609
Africa,Algeria,2022-04-01T01:01:01Z,Testing Units,5,482589,515675
Africa,Algeria,2022-04-01T01:01:01Z,Pulse Oxymeters,6,10492,7673
Africa,Algeria,2022-04-01T01:01:01Z,General Medicines,7,26193645,2592273
Africa,Algeria,2022-04-01T01:01:01Z,PPE Kit,8,13119,14415
Africa,Angola,2020-01-01T01:01:01Z,oxygen cylinder,0,511,278
Africa,Angola,2020-01-01T01:01:01Z,O2 Generator,1,159,39
Africa,Angola,2020-01-01T01:01:01Z,Mask,2,471,478
Africa,Angola,2020-01-01T01:01:01Z,Ventilators,3,40,47
Africa,Angola,2020-01-01T01:01:01Z,O2 Concentrators,4,178,213
Africa,Angola,2020-01-01T01:01:01Z,Testing Units,5,32,628
Africa,Angola,2020-01-01T01:01:01Z,Pulse Oxymeters,6,275,377
Africa,Angola,2020-01-01T01:01:01Z,General Medicines,7,527,461
Africa,Angola,2020-01-01T01:01:01Z,PPE Kit,8,400,47
Africa,Angola,2020-02-01T01:01:01Z,oxygen cylinder,0,1312,179
Africa,Angola,2020-02-01T01:01:01Z,O2 Generator,1,321,31
Africa,Angola,2020-02-01T01:01:01Z,Mask,2,3999,2548
Africa,Angola,2020-02-01T01:01:01Z,Ventilators,3,269,128
Africa,Angola,2020-02-01T01:01:01Z,O2 Concentrators,4,150,471
Africa,Angola,2020-02-01T01:01:01Z,Testing Units,5,1045,1679
Africa,Angola,2020-02-01T01:01:01Z,Pulse Oxymeters,6,496,1427
Africa,Angola,2020-02-01T01:01:01Z,General Medicines,7,15219,2153
Africa,Angola,2020-02-01T01:01:01Z,PPE Kit,8,1830,680
Africa,Angola,2020-03-01T01:01:01Z,oxygen cylinder,0,1875,1097
Africa,Angola,2020-03-01T01:01:01Z,O2 Generator,1,1072,468
Africa,Angola,2020-03-01T01:01:01Z,Mask,2,22084,10462
Africa,Angola,2020-03-01T01:01:01Z,Ventilators,3,481,46
Africa,Angola,2020-03-01T01:01:01Z,O2 Concentrators,4,281,323
Africa,Angola,2020-03-01T01:01:01Z,Testing Units,5,6412,7005
Africa,Angola,2020-03-01T01:01:01Z,Pulse Oxymeters,6,2320,709
Africa,Angola,2020-03-01T01:01:01Z,General Medicines,7,45560,1410
Africa,Angola,2020-03-01T01:01:01Z,PPE Kit,8,291,123
Africa,Angola,2020-04-01T01:01:01Z,oxygen cylinder,0,2303,2277
Africa,Angola,2020-04-01T01:01:01Z,O2 Generator,1,1406,672
Africa,Angola,2020-04-01T01:01:01Z,Mask,2,44515,15977
Africa,Angola,2020-04-01T01:01:01Z,Ventilators,3,400,329
Africa,Angola,2020-04-01T01:01:01Z,O2 Concentrators,4,143,430
Africa,Angola,2020-04-01T01:01:01Z,Testing Units,5,12570,7012
Africa,Angola,2020-04-01T01:01:01Z,Pulse Oxymeters,6,2644,682
Africa,Angola,2020-04-01T01:01:01Z,General Medicines,7,10751,21794
Africa,Angola,2020-04-01T01:01:01Z,PPE Kit,8,1858,1665
Africa,Angola,2020-05-01T01:01:01Z,oxygen cylinder,0,2496,841
Africa,Angola,2020-05-01T01:01:01Z,O2 Generator,1,1845,501
Africa,Angola,2020-05-01T01:01:01Z,Mask,2,74294,3740
Africa,Angola,2020-05-01T01:01:01Z,Ventilators,3,492,114
Africa,Angola,2020-05-01T01:01:01Z,O2 Concentrators,4,481,423
Africa,Angola,2020-05-01T01:01:01Z,Testing Units,5,6592,19689
Africa,Angola,2020-05-01T01:01:01Z,Pulse Oxymeters,6,1632,1694
Africa,Angola,2020-05-01T01:01:01Z,General Medicines,7,84992,31739
Africa,Angola,2020-05-01T01:01:01Z,PPE Kit,8,2666,3226
Africa,Angola,2020-06-01T01:01:01Z,oxygen cylinder,0,3328,3170
Africa,Angola,2020-06-01T01:01:01Z,O2 Generator,1,2351,738
Africa,Angola,2020-06-01T01:01:01Z,Mask,2,210007,43387
Africa,Angola,2020-06-01T01:01:01Z,Ventilators,3,122,281
Africa,Angola,2020-06-01T01:01:01Z,O2 Concentrators,4,2024,1328
Africa,Angola,2020-06-01T01:01:01Z,Testing Units,5,5720,18053
Africa,Angola,2020-06-01T01:01:01Z,Pulse Oxymeters,6,3763,3950
Africa,Angola,2020-06-01T01:01:01Z,General Medicines,7,28265,85274
Africa,Angola,2020-06-01T01:01:01Z,PPE Kit,8,4957,4658
Africa,Angola,2020-07-01T01:01:01Z,oxygen cylinder,0,812,2274
Africa,Angola,2020-07-01T01:01:01Z,O2 Generator,1,1401,585
Africa,Angola,2020-07-01T01:01:01Z,Mask,2,235264,101305
Africa,Angola,2020-07-01T01:01:01Z,Ventilators,3,1780,46
Africa,Angola,2020-07-01T01:01:01Z,O2 Concentrators,4,1734,718
Africa,Angola,2020-07-01T01:01:01Z,Testing Units,5,36474,7800
Africa,Angola,2020-07-01T01:01:01Z,Pulse Oxymeters,6,2104,3939
Africa,Angola,2020-07-01T01:01:01Z,General Medicines,7,69142,16150
Africa,Angola,2020-07-01T01:01:01Z,PPE Kit,8,333,4947
Africa,Angola,2020-08-01T01:01:01Z,oxygen cylinder,0,4199,2329
Africa,Angola,2020-08-01T01:01:01Z,O2 Generator,1,770,1377
Africa,Angola,2020-08-01T01:01:01Z,Mask,2,437017,107436
Africa,Angola,2020-08-01T01:01:01Z,Ventilators,3,255,392
Africa,Angola,2020-08-01T01:01:01Z,O2 Concentrators,4,1789,699
Africa,Angola,2020-08-01T01:01:01Z,Testing Units,5,61074,15228
Africa,Angola,2020-08-01T01:01:01Z,Pulse Oxymeters,6,6458,2998
Africa,Angola,2020-08-01T01:01:01Z,General Medicines,7,781044,136822
Africa,Angola,2020-08-01T01:01:01Z,PPE Kit,8,2813,1327
Africa,Angola,2020-09-01T01:01:01Z,oxygen cylinder,0,2433,4765
Africa,Angola,2020-09-01T01:01:01Z,O2 Generator,1,1184,1372
Africa,Angola,2020-09-01T01:01:01Z,Mask,2,531160,123786
Africa,Angola,2020-09-01T01:01:01Z,Ventilators,3,395,821
Africa,Angola,2020-09-01T01:01:01Z,O2 Concentrators,4,581,954
Africa,Angola,2020-09-01T01:01:01Z,Testing Units,5,51342,49818
Africa,Angola,2020-09-01T01:01:01Z,Pulse Oxymeters,6,8344,3519
Africa,Angola,2020-09-01T01:01:01Z,General Medicines,7,525690,206431
Africa,Angola,2020-09-01T01:01:01Z,PPE Kit,8,3009,3613
Africa,Angola,2020-10-01T01:01:01Z,oxygen cylinder,0,4337,4693
Africa,Angola,2020-10-01T01:01:01Z,O2 Generator,1,2532,1928
Africa,Angola,2020-10-01T01:01:01Z,Mask,2,214238,90290
Africa,Angola,2020-10-01T01:01:01Z,Ventilators,3,920,846
Africa,Angola,2020-10-01T01:01:01Z,O2 Concentrators,4,2551,2421
Africa,Angola,2020-10-01T01:01:01Z,Testing Units,5,67214,29527
Africa,Angola,2020-10-01T01:01:01Z,Pulse Oxymeters,6,5616,1025
Africa,Angola,2020-10-01T01:01:01Z,General Medicines,7,471514,224659
Africa,Angola,2020-10-01T01:01:01Z,PPE Kit,8,1069,2628
Africa,Angola,2020-11-01T01:01:01Z,oxygen cylinder,0,9229,3557
Africa,Angola,2020-11-01T01:01:01Z,O2 Generator,1,1383,1764
Africa,Angola,2020-11-01T01:01:01Z,Mask,2,776914,78322
Africa,Angola,2020-11-01T01:01:01Z,Ventilators,3,1132,172
Africa,Angola,2020-11-01T01:01:01Z,O2 Concentrators,4,2547,2316
Africa,Angola,2020-11-01T01:01:01Z,Testing Units,5,19421,54522
Africa,Angola,2020-11-01T01:01:01Z,Pulse Oxymeters,6,8893,7829
Africa,Angola,2020-11-01T01:01:01Z,General Medicines,7,1876110,359354
Africa,Angola,2020-11-01T01:01:01Z,PPE Kit,8,2383,5224
Africa,Angola,2020-12-01T01:01:01Z,oxygen cylinder,0,2680,4967
Africa,Angola,2020-12-01T01:01:01Z,O2 Generator,1,269,1260
Africa,Angola,2020-12-01T01:01:01Z,Mask,2,1309609,16191
Africa,Angola,2020-12-01T01:01:01Z,Ventilators,3,3259,831
Africa,Angola,2020-12-01T01:01:01Z,O2 Concentrators,4,3837,2823
Africa,Angola,2020-12-01T01:01:01Z,Testing Units,5,65275,14988
Africa,Angola,2020-12-01T01:01:01Z,Pulse Oxymeters,6,6137,1767
Africa,Angola,2020-12-01T01:01:01Z,General Medicines,7,977407,348803
Africa,Angola,2020-12-01T01:01:01Z,PPE Kit,8,7016,381
Africa,Angola,2021-01-01T01:01:01Z,oxygen cylinder,0,10201,695
